X,Y
1.85942246369,0.391016123353
1.6864941669100002,0.6537557356360001
1.6444416217400002,0.767237332471
1.51078952704,0.935197626069
1.14249870686,1.25475919625
0.856299508024,1.45456969513
0.7301422408439999,1.53716590649
0.511047743194,1.61506875393
0.453451968981,1.6441261197700001
0.30920244163500005,1.7051953413
0.18793695272299998,1.74286182231
0.0969122737156,1.78247603227
0.0116336594705,1.81367039579
-0.115982568361,1.86383813184
-0.191964542204,1.92040966636
-0.26840422258,1.94396955759
-0.355417132553,1.94919376357
-0.548846720843,1.94771759623
-0.727531428314,2.02560386675
-0.8326758886000001,2.09061440145
-0.910417146106,2.13694439045
-0.963206196387,2.15428847677
-1.0087626918300001,2.17124846275
-1.07152016491,2.19249033454
-1.15383815446,2.2375856903
-1.26882764724,2.28296523334
-1.57865527768,2.3682074484499998
-1.66739057854,2.43230896301
